aX,aY,aZ,gX,gY,gZ
0.507,-0.115,0.830,-18.921,39.978,15.198
0.530,-0.083,0.809,-12.878,39.490,17.029
0.536,-0.034,0.788,-5.676,39.856,18.555
0.554,0.030,0.765,-1.160,39.001,18.616
0.572,0.087,0.768,-0.671,36.499,16.174
0.592,0.116,0.767,-3.052,33.508,11.108
0.593,0.116,0.780,-7.202,30.701,5.371
0.619,0.099,0.783,-10.986,28.503,0.488
0.653,0.062,0.787,-14.099,25.024,-3.418
0.668,0.012,0.786,-15.686,22.949,-6.104
0.682,-0.035,0.776,-13.367,21.240,-7.141
0.688,-0.065,0.756,-9.155,19.104,-5.493
0.681,-0.098,0.744,-4.395,15.991,-2.686
0.699,-0.097,0.715,1.465,10.010,0.793
0.717,-0.091,0.710,6.104,4.089,3.784
0.736,-0.066,0.719,9.277,-1.770,6.165
0.742,-0.041,0.749,11.169,-7.263,7.507
0.741,-0.021,0.784,11.475,-11.475,8.179
0.739,0.000,0.808,11.414,-14.771,8.240
-2.236,0.785,0.702,71.838,9.033,-129.150
-2.757,0.476,0.748,36.255,14.771,-197.998
-3.024,0.077,0.809,-24.902,-11.719,-239.807
-3.097,-0.426,0.986,-101.074,-63.538,-257.629
-2.806,-1.014,1.299,-163.696,-122.131,-268.250
-2.203,-1.676,1.662,-181.396,-167.297,-273.865
-1.441,-2.353,1.972,-157.959,-174.744,-267.944
-0.729,-2.995,2.082,-111.084,-142.578,-243.713
-0.249,-3.815,2.068,-70.313,-95.459,-192.932
0.273,-4.000,1.945,-70.068,-52.368,-112.183
0.614,-3.019,1.503,-34.180,-14.771,15.015
-0.051,-1.590,1.376,73.669,48.645,138.428
-0.790,-0.107,1.390,175.415,111.206,194.153
-1.099,1.057,1.375,227.478,126.160,190.613
-0.959,1.668,1.160,187.317,109.619,150.146
-0.755,1.708,0.849,80.261,80.872,102.417
-0.597,1.372,0.544,-26.794,50.415,58.838
-0.480,0.840,0.395,-92.712,23.621,18.127
-0.371,0.356,0.406,-110.657,0.610,-12.024
-0.301,-0.004,0.526,-92.712,-14.648,-30.151
-0.291,-0.235,0.674,-59.326,-21.240,-38.757
-0.299,-0.374,0.810,-26.001,-21.362,-39.978
-0.313,-0.451,0.911,-2.563,-19.714,-35.034
-0.323,-0.491,0.955,9.216,-17.761,-26.978
-0.302,-0.501,0.968,13.733,-15.808,-18.921
-0.264,-0.492,0.958,13.855,-12.878,-11.841
-0.268,-0.478,0.942,11.230,-8.423,-4.883
-0.281,-0.454,0.915,8.606,-4.883,2.136
-0.289,-0.427,0.876,4.700,-3.601,7.935
