aX,aY,aZ,gX,gY,gZ
0.565,-0.064,-0.474,32.288,-169.434,-1.587
0.571,-0.064,-0.431,29.175,-172.424,-0.732
0.598,-0.079,-0.357,25.574,-176.636,0.000
0.622,-0.094,-0.269,24.475,-179.260,1.343
0.639,-0.094,-0.191,26.733,-178.833,3.174
0.641,-0.087,-0.141,32.593,-175.049,3.418
0.646,-0.091,-0.097,37.415,-171.143,2.930
0.655,-0.086,-0.061,38.452,-168.213,3.296
0.645,-0.092,-0.054,36.926,-163.574,4.150
0.652,-0.082,-0.048,33.936,-161.438,5.066
0.657,-0.072,-0.033,32.593,-161.255,5.615
0.662,-0.060,-0.022,34.851,-158.142,5.432
0.659,-0.051,-0.003,38.269,-155.334,4.333
0.657,-0.039,0.027,39.978,-154.114,3.296
0.670,-0.043,0.061,37.598,-155.640,2.869
0.661,-0.032,0.124,34.546,-155.884,3.052
0.660,-0.032,0.163,33.386,-154.602,3.235
0.662,-0.040,0.193,34.973,-152.222,2.441
0.654,-0.039,0.214,38.513,-148.926,2.136
0.646,-0.017,0.234,41.992,-145.996,1.892
0.641,-0.017,0.271,43.884,-143.066,1.343
0.658,-0.014,0.306,43.762,-140.564,-0.305
0.664,-0.010,0.322,42.114,-137.024,-1.770
0.659,-0.006,0.326,40.649,-133.057,-2.625
0.658,-0.015,0.334,37.781,-131.409,-3.662
0.665,-0.031,0.344,35.767,-129.700,-5.005
0.665,-0.036,0.353,36.804,-126.404,-6.470
0.651,-0.042,0.362,37.109,-123.291,-6.287
0.656,-0.059,0.383,36.438,-122.375,-7.080
0.658,-0.067,0.377,35.706,-120.972,-7.080
0.655,-0.084,0.371,36.682,-119.019,-7.263
0.669,-0.118,0.383,40.039,-119.751,-8.606
0.683,-0.152,0.393,44.250,-119.873,-8.911
0.689,-0.190,0.421,49.133,-119.263,-8.606
0.695,-0.216,0.458,53.284,-118.469,-7.935
0.692,-0.232,0.464,55.542,-115.112,-7.202
0.673,-0.250,0.444,57.068,-110.535,-6.592
0.666,-0.283,0.439,56.946,-108.459,-5.981
0.670,-0.302,0.424,56.213,-108.337,-4.150
0.677,-0.298,0.394,59.082,-107.117,-1.648
0.653,-0.263,0.312,65.552,-103.027,0.671
0.611,-0.224,0.221,71.533,-100.769,2.136
0.560,-0.198,0.140,73.975,-104.126,1.953
0.514,-0.203,0.120,73.242,-114.319,1.343
0.156,-0.414,2.692,63.477,-198.242,14.221
0.273,-0.321,2.999,34.790,-177.856,11.169
0.426,-0.238,3.164,6.653,-146.057,7.996
0.601,-0.155,3.019,-12.451,-93.689,5.676
0.619,-0.086,2.538,-26.733,-30.273,5.310
0.503,-0.009,1.844,-40.588,25.513,7.874
0.371,0.064,1.195,-51.086,59.387,7.507
0.316,0.143,0.571,-53.894,72.266,2.869
0.323,0.160,0.177,-52.185,63.416,-4.272
0.407,0.129,0.012,-44.617,42.053,-11.536
0.503,0.064,0.015,-35.950,19.714,-17.700
0.573,-0.041,0.103,-23.926,3.540,-22.217
0.603,-0.163,0.242,-9.338,-7.324,-24.353
0.599,-0.270,0.429,3.357,-16.418,-23.193
0.600,-0.356,0.650,14.709,-23.376,-20.508
0.608,-0.411,0.883,23.926,-26.794,-16.602
0.620,-0.439,1.089,28.381,-25.085,-11.780
0.637,-0.453,1.236,24.963,-19.470,-5.920
0.641,-0.448,1.295,16.357,-10.071,-0.549
